"filename", "language", "JSON with Comments", "HTML", "Markdown", "XML", "JavaScript", "CSS", "comment", "blank", "total"
"/media/faouzi/PROJECTS/WEB/pWeb_pages/faouzimohamed.github.io/img/web_font_svg/svg/computer_write.svg", "XML", 0, 0, 0, 6, 0, 0, 1, 0, 7
"/media/faouzi/PROJECTS/WEB/pWeb_pages/faouzimohamed.github.io/img/web_font_svg/svg/conference.svg", "XML", 0, 0, 0, 6, 0, 0, 1, 0, 7
"/media/faouzi/PROJECTS/WEB/pWeb_pages/faouzimohamed.github.io/img/web_font_svg/svg/cottage.svg", "XML", 0, 0, 0, 6, 0, 0, 1, 0, 7
"/media/faouzi/PROJECTS/WEB/pWeb_pages/faouzimohamed.github.io/img/web_font_svg/svg/criminal_front.svg", "XML", 0, 0, 0, 6, 0, 0, 1, 0, 7
"/media/faouzi/PROJECTS/WEB/pWeb_pages/faouzimohamed.github.io/img/web_font_svg/svg/custom_page.svg", "XML", 0, 0, 0, 6, 0, 0, 1, 0, 7
"/media/faouzi/PROJECTS/WEB/pWeb_pages/faouzimohamed.github.io/img/web_font_svg/svg/delete.svg", "XML", 0, 0, 0, 6, 0, 0, 1, 0, 7
"/media/faouzi/PROJECTS/WEB/pWeb_pages/faouzimohamed.github.io/img/web_font_svg/svg/department.svg", "XML", 0, 0, 0, 6, 0, 0, 1, 0, 7
"/media/faouzi/PROJECTS/WEB/pWeb_pages/faouzimohamed.github.io/img/web_font_svg/svg/device_chat.svg", "XML", 0, 0, 0, 6, 0, 0, 1, 0, 7
"/media/faouzi/PROJECTS/WEB/pWeb_pages/faouzimohamed.github.io/img/web_font_svg/svg/diandao.svg", "XML", 0, 0, 0, 6, 0, 0, 1, 0, 7
"/media/faouzi/PROJECTS/WEB/pWeb_pages/faouzimohamed.github.io/img/web_font_svg/svg/dianhua.svg", "XML", 0, 0, 0, 6, 0, 0, 1, 0, 7
"/media/faouzi/PROJECTS/WEB/pWeb_pages/faouzimohamed.github.io/img/web_font_svg/svg/door_open.svg", "XML", 0, 0, 0, 6, 0, 0, 1, 0, 7
"/media/faouzi/PROJECTS/WEB/pWeb_pages/faouzimohamed.github.io/img/web_font_svg/svg/drill.svg", "XML", 0, 0, 0, 6, 0, 0, 1, 0, 7
"/media/faouzi/PROJECTS/WEB/pWeb_pages/faouzimohamed.github.io/img/web_font_svg/svg/drop-down.svg", "XML", 0, 0, 0, 6, 0, 0, 1, 0, 7
